assay_id,pdb_id,pubmed_id
1497442,2R56,17997967
1492247,1ZEA,17712773
1706946,3IXT,20098425
1707040,1ZA3,15854651
1907474,1N7M,12552112
1907473,1NGW,12552112
1904245,1Y0L,15788533
1904246,1Y18,15788533
1910990,1HI6,9413990
1910988,1CFS,9413990
1910989,1CFT,9413990
1910961,1CFN,9413990
1910987,1BOG,9413990
1911165,2FX7,17125793
1911171,2FX9,17125793
1911172,2FX8,17125793
1979437,3TJE,22261618
1979451,3THM,22261618
1989259,4EJ1,23911607
1989260,4EIZ,23911607
1989264,4FHB,23911607
1989268,4EIG,23911607
2000988,4KDT,23904325
2004973,3UBX,22110136
2014391,1OAZ,12610298
1967188,4FQK,22878502
1961163,4DGI,23090399
1980686,1MCK,8346191
1980687,1MCL,8346191
1980688,1MCN,8346191
1492301,1PKQ,12874380
1495933,1RVF,8848050
1497451,2HH0,16962610
1586836,3EYF,18772881
1495423,1UWX,16470851
1707041,1KB9,11726495
1510569,1S78,15093539
1510626,1YY9,15837620
1717070,1ADQ,9145108
1599742,3GBN,19251591
1599743,3GBM,19251591
1786628,3C6S,18621718
1786498,1IC4,11297547
1482936,1FPT,7539711
1511682,1NFD,9427737
1511683,1NFD,9427737
1511684,1KXT,11960990
1511685,1KXQ,11960990
1511686,1KXV,11960990
2857934,5KEL,27562261
1786504,1IC7,11297547
1786501,1IC5,11297547
1786614,2A9N,16195545
1804642,1J1P,12444085
1804645,1J1X,12444085
1491387,1JPS,11601848
1491355,1LK3,12121653
1491562,1I9R,11525169
1491564,1G6V,11342547
1491563,1IQD,11418455
964,1MHP,12662928
167,1SY6,15136729
1770503,3IFN,19923222
1600725,3CFI,19118632
1770520,3I50,19713934
1770504,3IFO,19923222
1769356,3IXX,19713934
1769361,3IXY,19713934
1708126,3G5V,19289842
1636350,3DSF,18694758
1638732,2R0W,17895381
1638733,2R0Z,17895381
1985952,1EHL,10835279
1774335,3EZJ,19217396
2098272,4L5F,24743696
1708128,2VH5,18187153
1774310,3K3Q,20138889
2006790,3W11,23302862
2006806,3W12,23302862
2006808,3W13,23302862
1805474,2IBZ,17337272
1985942,1I8M,11733999
5737,4FAB,2508085
1495535,2J5L,17229439
1495547,1QLE,10559205
1714919,2ZJS,18923527
1785160,3A67,20038580
1785161,3A6C,20038580
1785162,3A6B,20038580
1786205,1ZVY,16537393
1787342,1JTP,11676532
1787341,1JTT,11676532
1787435,3BGF,19324051
1771612,1VFB,8302837
1771963,1JHL,8356074
1771361,1BVK,9463398
1772040,2IFF,7531245
1769280,1BQL,8880929
1769364,1A2Y,9609690
1976269,4JPK,23539181
1799393,3GI9,19608859
1808740,3GI8,19608859
1714925,3D85,18708069
1770456,2BSE,16327804
1716829,2JIX,17620453
1707042,3IU3,20032294
1770476,2JIX,17620453
1787454,1NBY,12515535
1784752,1YQV,15858274
1787455,1NBZ,12515535
1785171,2DQC,17166830
1796304,2P49,17888451
1796307,2P4A,17888451
1786505,1UA6,12709438
1783630,2EKS,18227432
1786877,3HZK,20000757
1376700,1TQC,15240887
24207,1T6V,15319492
1717593,3BN9,18514224
1708356,1CZ8,10543973
1495949,1QGC,9130694
1785172,2DQF,17166830
1788616,1XGP,15698573
1786529,1UAC,12709438
1785169,2DQJ,17166830
1785170,2DQI,17166830
1786771,3E8U,19274732
1795677,3GB7,19946269
1795678,3IGA,19946269
1356635,1KCR,11120821
1786874,3HZM,20000757
1631130,2HKF,18041760
1642058,1KTR,12054774
1789513,2DQF,17166830
1785173,2DQD,17166830
1953416,3V0A,22363010
1955582,3STB,22039098
1792332,1XGQ,15698573
14182,1FRG,7520084
164,1OSP,9108020
1004291,1NCB,1522584
1974627,3SKJ,21867711
1972025,4AQ1,22722836
1737035,1M7D,12427018
1975987,4I9W,23341632
1811893,2WZP,20351260
1792333,1XGT,15698573
1811776,1DBB,8496956
1822928,2R2E,18272175
1783632,2EIZ,18227432
1857751,2VWE,18930733
1634729,2ADF,16314412
1702295,2R29,18264114
1778386,3HNT,19577573
1779502,3LZF,20339031
1778385,3HNS,19577573
1782467,1NDM,12740607
1782468,1NDG,12740607
1782053,1MEL,8784355
1480185,2MPA,9294871
1480006,1A3R,8194515
1495509,2J4W,17229439
1495945,1EJO,10811933
2520484,4XAK,26370782
1708117,1TZI,15306681
1708118,1TZH,15306681
1708119,1P84,12782631
1708120,1KYO,11880631
1708121,1FNS,11017197
1708122,1AR1,9380672
1708123,1IGC,7966308
1708124,1OAK,9501911
1708125,3G5Y,19289842
1507139,1SM3,9826510
1858335,3IKC,19767317
1848062,2I60,18619974
1848226,2QAD,17901336
1847624,3HR5,20458139
1778425,1DZB,10926506
1495939,2EH8,17517649
1778387,3HNV,19577573
1778412,3GGW,19328810
1782372,1OP9,12917687
1779997,1MFC,7689495
3817775,5U8Q,29483580
3817772,5U8R,29483580
2519346,4YBQ,26416735
1717198,1VPO,12196551
1785174,2DQG,17166830
1785175,2DQE,17166830
1785176,2DQH,17166830
1781566,3HFM,2762305
1787691,1MFB,7689495
1784876,1DZB,10926506
1781548,1J1O,12444085
1480384,2BRR,16038932
1770491,2BJM,16129832
1770497,3IFL,19923222
1706907,2DTG,16957736
1706905,2DTG,16957736
2007892,4KK6,24036509
2007893,4KKL,24036509
2007915,4KK9,24036509
2007916,4KKA,24036509
2007917,4KKB,24036509
2007918,4KKC,24036509
2007919,4LOU,24036509
2007920,4KK8,24036509
2072790,3J69,24501405
2072799,3J6A,24501405
1772755,3G04,17542669
1773345,2W9E,19204296
1492169,2I9L,17688903
2857953,5KEM,27562261
3110164,5TLK,28119207
3132750,4KUC,23853097
3132831,5U1F,28218750
3133103,4XVT,25865483
3133047,5T4Z,28249163
1771928,1KIP,8952503
1771930,1KIQ,8952503
1769319,1DQJ,10828942
1848480,1HYS,11250910
1813768,3EO1,19073914
1853971,1TJH,15367639
1838738,1R0A,15016861
1819296,3H0T,19553669
1816841,3BSZ,19021760
1821941,2VDR,18710925
1822584,3L95,20393564
1845995,2XQY,21149698
1822722,1IAI,8127852
1928672,3MOA,21076400
1859013,3H3P,19906921
